خبر فوری همین که خبری‌ در راه است,хабари фаврӣ ҳамин ки хабаре дар роҳ аст
گفتم پشیمان شدیم دیگر نمی‌خواهیم در بازار فیلم‌برداری کنیم؛ باید برویم که به کارمان برسیم,гуфтам пушаймон шудем дигар намехоҳем филмбардорӣ кунем бояд биравем ки ба корамон бирасем
گفت باید بمانید تا پلیس از راه برسد,гуфт бояд бимонед то пулис аз роҳ бирасад
پرسیدم چه ربطی پلیس به این ماجرا دارد,пурсидам чи рабте пулис ба ин моҷаро дорад
ما که مجرم نیستیم و می‌خواهیم برویم,мо ки муҷрим нестем ва мехоҳем биравем
تبسم معناداری کرد و گفت,табассуми маънодоре карду гуфт
اینجا روسیه است,инҷо русия аст
یکی دیگر که عصبانی‌تر بود تا دلش می‌خواست از بریتانیا و آمریکا بد گفت و از من پرسید که چرا از روسیه بد می‌گوییم,яке дигар ки ъасабонитар буд то дилаш мехост аз бритониёву омрико бад гуфт ва аз ман пурсид ки чиро аз русия бад мегӯем
گفتم وجهۀ روسیه‌را رفتار و گفتار شما تعیین می‌کند که شاهدش هستیم و ربطی به کار من ندارد,гуфтам ваҷҳаи русияро рафтору гуфтори шумо таъйин мекунад ки шоҳидаш ҳастем ва рабте ба кори ман надорад
بازداشت ما بیش از یک ساعت طول کشید؛ تا زمانی که دو مامور پلیس آمدند و ما‌را بازپرسی کردند و بار دیگر توضیح دادند که در روسیه اجازه نداریم در اماکن خصوصی فیلم‌برداری کنیم و این بازاز یک مکان خصوصی است,боздошти мо беш аз як соъат тӯл кашид то замоне ки ду маъмури пулис омаданду моро бозпурсӣ карданд ва бори дигар тавзеҳ доданд ки дар русия иҷоза надорем дар амокин маконҳо-и хусусӣ филмбардорӣ кунем ва ин бозор як макони хусусӣ аст
گفتم ما صرفاً می‌خواستیم اجازه فیلم‌برداری در این بازار ده‌ها هزار نفری‌را بگیریم و هیچ کادری از این بازار برنداشته ایم,гуфтам мо сирфан мехостем иҷозаи филмбардорӣ дар ин бозори даҳҳо ҳазорнафариро бигирем ва ҳеч кодре аз ин бозор барнадоштаем
سوار خودرو پلیس شدیم که ما‌را به بیرون از دروازه‌های بازار رساند و همان جا ماند تا سایۀ ما از بازار دور شود,савори худрави пулис шудем ки моро ба берун аз дарвозаҳои бозор расонд ва ҳамон ҷо монд то сояи мо аз бозор дур шавад
این اتفاق که تنها یکی از چند مورد مشابه است که بر ما حادث شد بیانگر یک واقعیت بود,ин иттифоқ ки танҳо яке аз чанд мавриди мушобеҳ аст ки бар мо ҳодис шуд баёнгари як воқеъият буд
میانۀ روسیه با رسانه‌های غربی شکراب است,миёнаи русия бо расонаҳои ғарбӣ шакароб аст
و نه تنها ماموران امنیتی و انتظامی که بسیاری از راننده‌های تاکسی هم روی ترش می‌کنند تا می‌شنوند که مشتری‌شان از بی‌بی‌سی است,ва на танҳо маъмурони амниятию интизомӣ ки бисёре аз ронандаҳои токсӣ ҳам рӯй турш мекунанд то мешунаванд ки муштаришон аз би-би-сӣ аст
یادم نمی‌آید که زمان شوروی شاهد برخورد خصمانۀ مردم عادی با رسانه‌های غربی شده باشم,ёдам намеояд ки замони шӯравӣ шоҳиди бархурди хасмонаи мардуми ъодӣ бо расонаҳои ғарбӣ шуда бошам
ظاهراً این پدیده از پیامدهای جنگ سرد تازه است,зоҳиран ин падида аз паёмадҳои ҷанги сарди тоза аст
مثبت‌ترین ارزیابی یک روس از بی‌بی‌سی که طی این سفر شنیدم از کسی بود که می‌خواست منصف باشد و گفت,мусбаттарин арзёбии як рус аз би-би-сӣ ки тайи ин сафар шунидам аз касе буд ки мехост мунсиф бошаду гуфт
من عاشق برنامه‌های علمی بی‌بی‌سی هستم اما از برنامه‌های سیاسی‌اش متنفرم,ман ъошиқи барномаҳои ъилмии би-би-сӣ ҳастам аммо аз барномаҳои сиёсиаш мутанаффирам
روسیه این آمیزه متناقض شرق و غرب از زمان پتر بزرگ تا کنون گرایش شدید به غرب داشته که همواره با فرار و انزجار غریب از غرب همراه بوده است,русия ин омезаи мутаноқизи шарқу ғарб аз замони петри бузург то кунун гароиши шадид ба ғарб дошта ки ҳамвора бо фирору инзиҷори ғариб аз ғарб ҳамроҳ будааст
