حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده,ҳаводиси рӯзҳои охар дар эрон тамоми ҷаҳонро ба худ ҷалб намуда
چرا حکومتداران دستجمعی به چنین عملیات دست می‌زنند,чаро ҳукуматдорон дастҷамъӣ ба чунин амалиёт даст мезананд
چرا سیستم دولتوداری در تاجیکستان جنین شده است,чаро системи давлатдорӣ дар тоҷикистон чунин шудааст
چون برای دولتداری واقعی و دلتداری خوب اخلاق سودمند لازم است,чун барои давлатдории воқеъӣ ва давлатдории хуб ахлоқи судманд лозим аст
فساد از نبود اخلاق است,фасод аз набуди ахлоқ аст
سؤال مطرح می‌شود,суъол матраҳ мешавад
اخلاق در کدام اساس باید پیدا شود,ахлоқ дар кадом асос бояд пайдо шавад
اخلاق در اساس چیز والاتری شکل می‌یابد؛ آنی که شما از نفستان والاتر و پاکتر می‌دانید,ахлоқ дар асоси чизи волотаре шакл меёбад оне ки шумо аз нафасатон волотару поктар медонед
برای برخی این دین است برای برخی این میهنپرستی است و برای برخی هر دو,барои бархе ин дин аст барои бархе ин меҳанпарастӣ аст ва барои бархе ҳар ду
البته من این جا مساله اخلاق دولتداری‌را مطرح می‌کنم,албатта ман ин ҷо масъалаи ахлоқи давлатдориро матраҳ мекунам
متاسفانه میهنپروری در کشور ما در بین توده‌ها وجود ندارد؛ عشق به ملت خود هم همچنین,мутаасифона меҳанпарварӣ дар кишвари мо дар байни тӯдаҳо вуҷуд надорад ишқ ба миллати худ ҳам ҳамчунин
تنها خانواده و محل برای مردم مهم است,танҳо хонаводаю маҳал барои мардум муҳим аст
مردم تاجیکستان از فرهنگ و تاریخشان چیزی هم نمی دانند,мардуми тоҷикистон аз фарҳангу торихашон чизе ҳам намедонанд
سرچشمه مشکلات هم این است,сарчашмаи мушкилот ҳам ин аст
مصیبت تاجیکستان این است که ما تماماً از اصلمان و هویتمان دور ماندیم,мусибати тоҷикистон ин аст ки мо тамоман аз асламон ва ҳуввиятамон дур мондем
بیایید به تاریخ بنگریم,биёед ба торих бингарем
در قرن خورشیدی قرن میلادی مرکز رستاخیز فرهنگ و زبان و دولتداری ایرانی پس از استیلای اعراب فرارود بود,дар қарни-и хуршедӣ қарни мелодӣ маркази растохези фарҳангу забон ва давлатдории эронӣ пас аз истилои аъроб фароруд буд
امروز هم دولتداران تاجیکستان دولت سامانیان‌را به یک پایگاه بلند برداشته اند,имрӯз ҳам давлатдорони тоҷикистон давлати сомониёнро ба як пойгоҳи баланд бардоштаанд
متاسفانه امروز همان فرهنگ و دولتداری ایرانی تاجیکی در تاجیکستان نظررس نیست,мутаасифона имрӯз ҳамон фарҳангу давлатдории эронӣ тоҷикӣ дар тоҷикистон назаррас нест
مصیبت از اصل و هویت دور ماندن ما از حمله ازبکان از شمال – از جنوب قلمرو روسیه و شمال قلمرو قزاقستان امروزی – در قرن خورشیدی قرن میلادی سرچشمه می‌گیرد,мусибати аз аслу ҳуввият дур мондани мо аз ҳамлаи ӯзбакон аз шимол – аз ҷануби қаламрави русия ва шимоли қаламрави қазоқистони имрӯзӣ – дар қарни-и хуршедӣ қарни-и мелодӣ сарчашма мегирад
پس از ویران کردن مرکزهای فرهنگی ایرانی همچن شهرهای سمرقند بخارا و دیگرها,пас аз вайрон кардани марказҳои фарҳангии эронӣ ҳамчун шаҳрҳои самарқанд бухоро ва дигарҳо
